,season_id,team_name_home,game_id,game_date,matchup_home,wl_home,team_name_away,MVP_in_roster_share_1yr_home,MVP_in_roster_share_2yr_home,MVP_in_roster_share_3yr_home,MVP_in_roster_share_1yr_away,MVP_in_roster_share_2yr_away,MVP_in_roster_share_3yr_away,Team_all_stars_home,Team_all_stars_away
30397,21996.0,DET,29600318.0,1996/12/15,DET vs. BOS,W,BOS,0.0,0.0,0.0,0.211,0.14,0.88,2.0,0.0
30398,21996.0,IND,29600304.0,1996/12/13,IND vs. BOS,W,BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30399,21996.0,BOS,29600199.0,1996/11/29,BOS vs. HOU,L,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
30400,21996.0,BOS,29600187.0,1996/11/27,BOS vs. LAL,W,LAL,0.0,0.0,0.0,1.186,0.0,0.386,0.0,2.0
30401,21996.0,BOS,29600169.0,1996/11/24,BOS vs. DAL,W,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30402,21996.0,BOS,29600155.0,1996/11/22,BOS vs. OKC,L,OKC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
30403,21996.0,MIL,29600268.0,1996/12/8,MIL vs. BOS,W,BOS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30404,21996.0,BOS,29600138.0,1996/11/20,BOS vs. DET,L,DET,0.211,0.14,0.88,0.0,0.0,0.0,0.0,2.0
30405,21996.0,HOU,29600238.0,1996/12/4,HOU vs. BOS,W,BOS,0.0,0.576,0.286,0.0,0.0,0.0,3.0,0.0
30406,21996.0,BOS,29600104.0,1996/11/15,BOS vs. DEN,L,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30407,21996.0,BOS,29600053.0,1996/11/8,BOS vs. PHI,L,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30408,21996.0,BOS,29600041.0,1996/11/6,BOS vs. IND,W,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30409,21996.0,BOS,29600001.0,1996/11/1,BOS vs. CHI,L,CHI,0.319,0.0,0.0,0.0,0.0,0.0,0.0,2.0
30410,21996.0,MIA,29600212.0,1996/11/30,MIA vs. BOS,W,BOS,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
30411,21996.0,WAS,29600116.0,1996/11/16,WAS vs. BOS,W,BOS,0.0,0.0,0.0,0.0,0.219,0.252,1.0,0.0
30412,21996.0,CHI,29600066.0,1996/11/9,CHI vs. BOS,W,BOS,0.0,0.507,0.0,0.0,0.0,0.0,2.0,0.0
30413,21996.0,MIL,29600020.0,1996/11/2,MIL vs. BOS,W,BOS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30414,21995.0,MIA,29501177.0,1996/4/21,MIA vs. ATL,L,ATL,0.0,0.0,0.0,0.219,0.252,0.366,1.0,0.0
30415,21995.0,ORL,29501157.0,1996/4/18,ORL vs. ATL,W,ATL,0.0,0.0,0.0,0.576,0.286,0.0,2.0,0.0
30416,21995.0,IND,29501085.0,1996/4/8,IND vs. ATL,W,ATL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30417,21995.0,CHI,29501003.0,1996/3/28,CHI vs. ATL,W,ATL,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
30418,21995.0,TOR,29500986.0,1996/3/26,TOR vs. ATL,L,ATL,0.14,0.88,0.0,0.0,0.0,0.852,0.0,0.0
30419,21995.0,CHA,29500959.0,1996/3/22,CHA vs. ATL,L,ATL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30420,21995.0,SAS,29500916.0,1996/3/16,SAS vs. ATL,W,ATL,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
30421,21995.0,HOU,29500904.0,1996/3/14,HOU vs. ATL,W,ATL,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
30422,21995.0,WAS,29500876.0,1996/3/10,WAS vs. ATL,W,ATL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30423,21995.0,CLE,29500854.0,1996/3/7,CLE vs. ATL,L,ATL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30424,21995.0,DET,29500830.0,1996/3/4,DET vs. ATL,W,ATL,0.858,0.723,0.0,0.0,0.0,0.0,1.0,0.0
30425,21995.0,MIL,29500817.0,1996/3/2,MIL vs. ATL,W,ATL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30426,21995.0,MIN,29500772.0,1996/2/25,MIN vs. ATL,L,ATL,0.0,0.0,0.0,0.0,0.386,0.577,0.0,0.0
30427,21995.0,NYK,29500757.0,1996/2/23,NYK vs. ATL,L,ATL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30428,21995.0,OKC,29500730.0,1996/2/19,OKC vs. ATL,W,ATL,0.0,0.386,0.577,0.0,0.0,0.0,2.0,0.0
30429,21995.0,POR,29500717.0,1996/2/18,POR vs. ATL,L,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30430,21995.0,MEM,29500702.0,1996/2/16,MEM vs. ATL,L,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30431,21995.0,LAL,29500689.0,1996/2/14,LAL vs. ATL,W,ATL,0.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30432,21995.0,MIA,29500660.0,1996/2/7,MIA vs. ATL,W,ATL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30433,21995.0,ORL,29500625.0,1996/2/2,ORL vs. ATL,W,ATL,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
30434,21995.0,IND,29500605.0,1996/1/30,IND vs. ATL,W,ATL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30435,21995.0,CLE,29500561.0,1996/1/23,CLE vs. ATL,L,ATL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30436,21995.0,PHI,29500529.0,1996/1/19,PHI vs. ATL,L,ATL,0.219,0.252,0.366,0.0,0.0,0.0,0.0,0.0
